CODPLAT;CATEGORIA;DESCRICAO;UNID
3029;BEBIDAS;AGUA MINERAL BURGER KING CX 48 UN;cx
10138;BEBIDAS;AGUA GASEIFICADA H2OH LIMAO BK FD 12 X 500ML;fd
28459;BEBIDAS;BEBIDA LACTEA DOCE DE LEITE UHT BK CX10X2UN;cx
35046;BEBIDAS;SUCO UVA MACA 12X300ML PPY/BK;fd
21403;CARNES/PEIXES/AVES;CARNE CONG MOIDA WHOPPER BK CX 17,2KG;cx
31777;CARNES/PEIXES/AVES;CHICKEN JR CLEAN BK CX 9,88KG;cx
34580;CARNES/PEIXES/AVES;CHICKEN NUGGETS CLEAN BK CX 12 KG;cx
35708;COBERTURAS;MISTURA MILK SHAKE BAU BK DOHLER CX 13,16;cx
3043;DESCARTAVEIS;GUARDANAPO EMBALADO BK 20X30 CX 2400 UND;cx
9241;DESCARTAVEIS;GUARDANAPO SORVETE BK 20 X 20 CX 5000 UND;cx
24016;DESCARTAVEIS;COPO MIX INSTITUCIONAL 290ML BK BO PACK CX 320UN;cx
24416;DESCARTAVEIS;KIT TEFLON TOSTER BK CX C/ 5UN;cx
24452;DESCARTAVEIS;FILTRO P/ FRITADEIRA PITCO 30UND;cx
25299;DESCARTAVEIS;REDINHA PARA CABELO PRETA BK PCT C/ 100UN;pct
26290;DESCARTAVEIS;BALDE DE PAPEL 900ML BK BO PACK NAC CX 500UND;cx
31543;DESCARTAVEIS;GARFO SOBREMESA CX 1000 UND;cx
31544;DESCARTAVEIS;KIT GARFO/FACA EMBALADOS;cx
31886;DESCARTAVEIS;GUARDANAPO INTERFOLHADO BK CX 5400 UM;cx
31887;DESCARTAVEIS;PAPEL TOALHA BK CX 6X200M;cx
31888;DESCARTAVEIS;PAPEL TOALHA INTERFOLHADA 24X350;cx
34741;DESCARTAVEIS;TAMPA SUNDAE BK CX C/1200 UND;cx
2983;EMBALAGENS;SACO BK CHICKEN CX 1000 UNIDADES;cx
10880;EMBALAGENS;BANDEJA PRETA BK C/ 50 UND;cx
35293;EMBALAGENS;CARTONAGEM BATATA MEDIA NOVA BK CX 1600 UND;cx
4326;ESTOCAVEIS;ETIQUETA (TERCA) ROLO 1000 UN;rol
4327;ESTOCAVEIS;ETIQUETA (SEGUNDA) ROLO 1000 UN;rol
4328;ESTOCAVEIS;ETIQUETA (SABADO) ROLO 1000 UN;rol
4329;ESTOCAVEIS;ETIQUETA (QUINTA) ROLO 1000 UN;rol
10947;ESTOCAVEIS;SAL BK 0,5KG X 20FD;fd
12331;ESTOCAVEIS;KIT DE MANUTENCAO ORINGS 162 BK;cx
12332;ESTOCAVEIS;KIT DE MANUTENCAO ORINGS 336 BK;cx
12333;ESTOCAVEIS;KIT DE MANUTENCAO ORINGS 8754 BK;cx
20754;ESTOCAVEIS;OLEO ESPECIAL SUPREMA BK CX 18KG;cx
21671;ESTOCAVEIS;SACHE KETCHUP BK HEINZ CX 1500X7GR;cx
24754;ESTOCAVEIS;BOBINA TERMICA 79X40 PALHA ATOCOTEPE BK C/ 30UN;cx
28150;ESTOCAVEIS;KIT MEDIDOR OLEO IMP. BK;und
28288;ESTOCAVEIS;TEFLON TOASTER PRINCE CASTLE BK CX 5 UN;cx
29002;ESTOCAVEIS;LAMINA WHOPPER JR BK RIACHO PCT 3000 UND;pct
29016;ESTOCAVEIS;LAMINA STACKER BK TRENIER PCT 3000 UN;pct
29017;ESTOCAVEIS;LAMINA KING OFERTAS BK TRENIER PCT 3000 UND;pct
29018;ESTOCAVEIS;LAMINA WHOPPER BK TRENIER PCT 3000 UND;pct
29019;ESTOCAVEIS;LAMINA BIG KING BK TRENIER PCT 3000 UND;pct
29020;ESTOCAVEIS;LAMINA CHICKEN WHOPPER BK TRENIER PCT 3000 UND;pct
29750;ESTOCAVEIS;FUNDO BANDEJA INSTITUCIONAL BURGER KING CX 2000 UND;cx
29842;ESTOCAVEIS;CANUDO PAPEL REFRIGERANTE BK CX 3000UND;cx
29857;ESTOCAVEIS;LAMINA REBEL WHOPPER MARFRIG BK RIACHO PCT 3000 UND;cx
30153;ESTOCAVEIS;CALDA MORANGO 6X1,25 CX C/7,5 KG;cx
30489;ESTOCAVEIS;KETCHUP A GRANEL BK HEINZ CX 8X2KG;cx
